Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	S	B	T	=
sub_401000	.text	00401000	0000032C	0000000C	0000000C	R	.	.	.	.	.	.	.
sub_401340	.text	00401340	0000061A	00000188	00000010	R	.	.	.	.	.	.	.
sub_401960	.text	00401960	0000013E	00000000	0000000C	R	.	.	.	.	.	.	.
UNK_ConfigFileHandlerMAYBE_401AF0	.text	00401AF0	00000755	00000188	00000010	R	.	.	.	.	.	.	.
sub_402250	.text	00402250	00000E0B	00000098	00000010	R	.	.	.	.	.	.	.
sub_4030F0	.text	004030F0	0000031C	00000010	00000010	R	.	.	.	.	.	.	.
sub_403430	.text	00403430	00000551	00000018	00000010	R	.	.	.	.	.	.	.
sub_4039A0	.text	004039A0	000003AF	00000010	00000010	R	.	.	.	.	.	.	.
sub_403D70	.text	00403D70	00000096	00000004	0000000C	R	.	.	.	.	.	.	.
sub_403E10	.text	00403E10	000000E8	00000010	00000004	R	.	.	.	.	.	.	.
sub_403F00	.text	00403F00	00000030	00000000	00000004	R	.	.	.	.	.	.	.
sub_403F30	.text	00403F30	00000097	00000010	00000010	R	.	.	.	.	.	.	.
sub_403FD0	.text	00403FD0	00000067	00000010	00000004	R	.	.	.	.	.	.	.
sub_404040	.text	00404040	0000005C	00000010	00000004	R	.	.	.	.	.	.	.
sub_4040A0	.text	004040A0	000000E4	00000010	0000000C	R	.	.	.	.	.	.	.
sub_404190	.text	00404190	00000030	00000004	00000008	R	.	.	.	.	.	.	.
sub_4041C0	.text	004041C0	0000006A	00000008	00000008	R	.	.	.	.	.	.	.
sub_404230	.text	00404230	00000046	00000008	00000004	R	.	.	.	.	.	.	.
sub_404280	.text	00404280	00000061	0000000C	00000004	R	.	.	.	.	.	.	.
sub_4042F0	.text	004042F0	00000035	00000000	00000004	R	.	.	.	.	.	.	.
sub_404330	.text	00404330	0000009D	00000010	0000000C	R	.	.	.	.	.	.	.
sub_4043D0	.text	004043D0	0000002A	00000000	00000004	R	.	.	.	.	.	.	.
sub_404400	.text	00404400	00000098	00000010	0000000C	R	.	.	.	.	.	.	.
sub_4044A0	.text	004044A0	00000034	00000000	00000004	R	.	.	.	.	.	.	.
sub_4044E0	.text	004044E0	000000AF	00000010	0000000C	R	.	.	.	.	.	.	.
sub_404590	.text	00404590	000000A9	00000010	00000010	R	.	.	.	.	.	.	.
sub_404640	.text	00404640	0000002F	00000000	00000008	R	.	.	.	.	.	.	.
sub_404670	.text	00404670	00000066	00000134	00000008	R	.	.	.	.	.	.	.
